,Top Social Media Platforms,Country,Monthly Active Users in Millions,Parent Company
1,facebook,US,"3,049",Meta
2,youtube,US,"2,491",Alphabet
3,WhatsApp,US,"2,000",Meta
4,Instagram,US,"2,000",Meta
5,TikTok,China,"1,562",Bytedance
6,WeChat,China,"1,336",Tencent
7,Messenger,US,979,Meta
8,Telegram,UAE,800,Telegram
9,Douyin,China,752,ByteDance
10,snapchat,US,750,snap
11,Kuaishou,China,685,Kuaishou
12,X,US,619,X corp
13,Sina Weibo,China,605,Sina Corp
14,qq,China,558,Tencent
15,Pinterest,US,482,Pinterest
